Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Change Information,Unnamed: 10,Unnamed: 11,Unnamed: 12
BMS ID of Linked GDM Global/Regional Attribute,GDD Name of Linked GDM Global/Regional Attribute,GDD Name of Technical Attribute,Technical Attribute is Conditional/ Optional,BMS ID,GDD Name,Attribute Definition (GDD),short xPath,GDSN Technical Attribute,Change Type,WR Number,Detailed Change Information,Release Version
3506,descriptionShort,@languageCode,Conditional,3507,descriptionShort/@languageCode,A code representing the language used in the description.,tradeItemDescriptionModule/tradeItemDescriptionInformation/descriptionShort/@languageCode,YES,nan,nan,nan,nan
3508,functionalName,@languageCode,Conditional,3509,functionalName/@languageCode,A code representing the language used in the description.,tradeItemDescriptionModule/tradeItemDescriptionInformation/functionalName/@languageCode,YES,nan,nan,nan,nan
3515,regulatedProductName,@languageCode,Conditional,3516,regulatedProductName/@languageCode,A code representing the language used in the description.,tradeItemDescriptionModule/tradeItemDescriptionInformation/regulatedProductName/@languageCode,YES,nan,nan,nan,nan
3517,tradeItemDescription,@languageCode,Conditional,3518,tradeItemDescription/@languageCode,A code representing the language used in the description.,tradeItemDescriptionModule/tradeItemDescriptionInformation/tradeItemDescription/@languageCode,YES,nan,nan,nan,nan
3552,colourDescription,@languagecode,Conditional,3553,colourDescription/@languageCode,A code representing the language used in the description.,tradeItemDescriptionModule/tradeItemDescriptionInformation/colour/colourDescription/@languagecode,YES,nan,nan,nan,nan
3587,handlingInstructionsCodeReference,@codeDescription,Optional,3588,handlingInstructionsCodeReference/@codeDescription,A description for the code value provided.,tradeItemHandlingModule/tradeItemHandlingInformation/handlingInstructionsCodeReference/@codeDescription,YES,nan,nan,nan,nan
3587,handlingInstructionsCodeReference,@codeListAgencyCode,Optional,3589,handlingInstructionsCodeReference/@codeListAgencyCode,A code representing the agency which manages the code list for example 5 for ISO.,tradeItemHandlingModule/tradeItemHandlingInformation/handlingInstructionsCodeReference/@codeListAgencyCode,YES,nan,nan,nan,nan
3587,handlingInstructionsCodeReference,@codeListAgencyCodeListVersion,Optional,3590,handlingInstructionsCodeReference/@codeListAgencyCodeListVersion,The snapshot of the Code List Agency code list at a certain point in time.,tradeItemHandlingModule/tradeItemHandlingInformation/handlingInstructionsCodeReference/@codeListAgencyCodeListVersion,YES,nan,nan,nan,nan
3587,handlingInstructionsCodeReference,@codeListAgencyName,Optional,3591,handlingInstructionsCodeReference/@codeListAgencyName,A name of the agency which manages the code list for example ISO.,tradeItemHandlingModule/tradeItemHandlingInformation/handlingInstructionsCodeReference/@codeListAgencyName,YES,nan,nan,nan,nan
3587,handlingInstructionsCodeReference,@codeListName,Optional,3592,handlingInstructionsCodeReference/@codeListName,The name of the code list which provides the code value.,tradeItemHandlingModule/tradeItemHandlingInformation/handlingInstructionsCodeReference/@codeListName,YES,nan,nan,nan,nan
3587,handlingInstructionsCodeReference,@codeListURI,Optional,3593,handlingInstructionsCodeReference/@codeListURI,A string that refers to the location of the code list which provides the code value.,tradeItemHandlingModule/tradeItemHandlingInformation/handlingInstructionsCodeReference/@codeListURI,YES,nan,nan,nan,nan
3587,handlingInstructionsCodeReference,@codeListVersion,Optional,3594,handlingInstructionsCodeReference/@codeListVersion,The snapshot of the code list at a certain point in time.,tradeItemHandlingModule/tradeItemHandlingInformation/handlingInstructionsCodeReference/@codeListVersion,YES,nan,nan,nan,nan
3709,itemPeriodSafeToUseAfterOpening,@timeMeasurementUnitCode,Conditional,3710,itemPeriodSafeToUseAfterOpening/@timeMeasurementUnitCode,"Any standardized, reproducible unit that can be used to measure any physical property.",tradeItemLifespanModule/tradeItemLifespan/itemPeriodSafeToUseAfterOpening/@timeMeasurementUnitCode,YES,nan,nan,nan,nan
3721,depth,@measurementUnitcode,Conditional,3722,depth/@measurementUnitcode,"Any standardized, reproducible unit that can be used to measure any physical property.",tradeItemMeasurementsModule/tradeItemMeasurements/depth/@measurementUnitcode,YES,nan,nan,nan,nan
3725,height,@measurementUnitcode,Conditional,3726,height/@measurementUnitcode,"Any standardized, reproducible unit that can be used to measure any physical property.",tradeItemMeasurementsModule/tradeItemMeasurements/height/@measurementUnitcode,YES,nan,nan,nan,nan
3733,netContent,@measurementUnitcode,Conditional,3734,netContent/@measurementUnitcode,"Any standardized, reproducible unit that can be used to measure any physical property.",tradeItemMeasurementsModule/tradeItemMeasurements/netContent/@measurementUnitcode,YES,nan,nan,nan,nan
